DEDICACION,CATEGORIA,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
exclusiva,Titular,729732.92,817299.92,882682.92,962123.92,1000607.92,1075653.51,1107923.11,1130081.57,1206927.11,1231065.11,1243375.11
exclusiva,Asociado,649355.56,727277.56,785459.56,856150.56,890396.56,957176.30,985891.58,1005609.41,1073990.84,1095469.84,1106423.84
exclusiva,Adjunto,569263.90,637574.90,688579.90,750551.90,780573.90,839116.94,864290.44,881576.24,941523.42,960353.42,969956.42
exclusiva,JTP,488885.43,547551.43,591355.43,644576.43,670359.43,720636.38,742255.47,757100.57,808583.40,824754.40,833001.40
exclusiva,Ayudante de 1era,408425.16,457436.16,494030.16,538492.16,560031.16,602033.49,620094.49,632496.37,675506.12,689016.12,695906.12
semiexclusiva,Titular,364866.86,408650.86,441342.86,481062.86,500304.86,537827.72,553962.55,565041.80,603464.64,615533.64,621688.64
semiexclusiva,Asociado,324678.03,363639.03,392730.03,428075.03,445198.03,478587.88,492945.51,502804.42,536995.12,547734.12,553211.12
semiexclusiva,Adjunto,284631.85,318786.85,344288.85,375273.85,390283.85,419555.13,432141.78,440784.61,470757.96,480172.96,484973.96
semiexclusiva,JTP,244443.10,273776.10,295678.10,322289.10,335180.10,360318.60,371128.15,378550.71,404292.15,412377.15,416500.15
semiexclusiva,Ayudante de 1era,204212.74,228717.74,247014.74,269245.74,280014.74,301015.84,310046.31,316247.23,337752.04,344507.04,347952.04
simple,Titular,182433.60,204325.60,220671.60,240531.60,250152.60,268914.04,276981.46,282521.08,301732.51,307766.51,310843.51
simple,Asociado,162338.74,181818.74,196363.74,214035.74,222596.74,239291.49,246470.23,251399.63,268494.80,273863.80,276601.80
simple,Adjunto,142315.75,159392.75,172143.75,187635.75,195140.75,209776.30,216069.58,220390.97,235377.55,240084.55,242484.55
simple,JTP,122221.88,136887.88,147838.88,161143.88,167588.88,180158.04,185562.78,189274.03,202144.66,206186.66,208247.66
simple,Ayudante de 1era,102106.67,114358.67,123506.67,134621.67,140005.67,150506.09,155021.27,158121.69,168873.96,172250.96,173972.96
simple,Ayudante de 2da,81685.75,91487.75,98806.75,107698.75,112005.75,120406.18,124018.36,126498.72,135100.63,137802.63,139180.63